"NumeroBenevole","Civilite","Nom","Prenom","NomComplet","Email","Telephone","TelephoneMobile","Adresse1","Adresse2","NPA","Ville","DateNaissance","Langues","SituationPersonnelle","Formation","NotesGenerales","NotesInternes","Binome","Statut","DateEntree","Provenance","ProvenanceDetail","DisponibilitesPreferees","CentresInteret","Competences","RecevoirInvitations","ParticiperEvenements","DateCreation","DateDerniereMajProfil","RGPDConsentement","SourceID"
"BEN-00330","Madame","Roux","RenÃ©","Roux RenÃ©","renae.roux@exemple.ch","410224037058","410799193056","Chemin des Pins 31","","1209","GENEVE","21/09/1948 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Non","18/07/2017 12:08:24","2025-12-07 15:02:53","Oui","330"
"BEN-00332","Monsieur","Vincent","Georges","Vincent Georges","georges.vincent@mail.ch","410222497495","410787988783","Chemin des Fleurs 93","","1209","GENEVE","15/05/1942 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","22/08/2017 11:06:41","2025-12-07 15:02:53","Oui","332"
"BEN-00333","Madame","Fournier","Henri","Fournier Henri","henri.fournier@contact.ch","410224614693","410779729649","Rue du Commerce 43","","1214","VERNIER","28/10/1987 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","22/08/2017 13:18:41","2025-12-07 15:02:53","Oui","333"
"BEN-00334","Madame","Morel","Louis","Morel Louis","louis.morel@test.ch","410228115444","410783747240","Chemin des Vignes 24","","1207","GENEVE","20/08/1999 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Non","22/08/2017 13:47:04","2025-12-07 15:02:53","Oui","334"
"BEN-00335","Madame","Girard","Sophie","Girard Sophie","sophie.girard@email.ch","410225458857","410797587283","Chemin du Moulin 3","","1205","GENEVE","07/10/1973 00:00:00","FranÃ§ais","","","","","","En attente","31/10/2017 00:00:00","Site Lancy","","","","","Oui","Oui","22/08/2017 15:07:13","2025-12-07 15:02:53","Oui","335"
"BEN-00336","Madame","AndrÃ©","Marie","AndrÃ© Marie","marie.andrae@exemple.ch","410223437793","410782818079","Chemin des Fleurs 35","","1218","GRAND-SACONNEX","23/01/1977 00:00:00","FranÃ§ais","","","","","","En attente","","Genève Bénévolat","","","","","Non","Oui","22/08/2017 15:25:10","2025-12-07 15:02:53","Oui","336"
"BEN-00337","Monsieur","Mercier","Isabelle","Mercier Isabelle","isabelle.mercier@mail.ch","410229506372","410789961827","Route de Lausanne 98","","1213","PETIT-LANCY","16/03/1985 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","22/08/2017 15:57:29","2025-12-07 15:02:53","Oui","337"
"BEN-00342","Madame","Dupont","Catherine","Dupont Catherine","catherine.dupont@contact.ch","410222337383","410764759088","Rue du Parc 23","","1209","GENEVE","12/02/1960 00:00:00","FranÃ§ais","","","","","","En attente","","Genève Bénévolat","","","","","Non","Non","31/08/2017 12:16:43","2025-12-07 15:02:53","Oui","342"
"BEN-00343","Monsieur","Lambert","Nathalie","Lambert Nathalie","nathalie.lambert@test.ch","410226644485","410782179831","Chemin des Pins 4","","1208","GENEVE","03/03/1940 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Non","31/08/2017 12:36:20","2025-12-07 15:02:53","Oui","343"
"BEN-00344","Madame","Bonnet","Pierre","Bonnet Pierre","pierre.bonnet@email.ch","410224226179","410771448294","Avenue de la LibertÃ© 29","","1205","GENEVE","18/12/1946 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","31/08/2017 13:13:22","2025-12-07 15:02:53","Oui","344"
"BEN-00345","Monsieur","FranÃ§ois","Jean","FranÃ§ois Jean","jean.franacois@exemple.ch","410224877062","410786505971","Avenue de France 8","","1213","PETIT-LANCY","11/12/1955 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","06/09/2017 16:52:56","2025-12-07 15:02:53","Oui","345"
"BEN-00346","Madame","Martinez","Marc","Martinez Marc","marc.martinez@mail.ch","410228906143","410795137360","Chemin des Pins 84","","1205","GENEVE","20/05/1984 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","06/09/2017 17:11:59","2025-12-07 15:02:53","Oui","346"
"BEN-00348","Madame","Legrand","Philippe","Legrand Philippe","philippe.legrand@contact.ch","410227112130","410776246242","Route de GenÃ¨ve 50","","1207","GENEVE","01/11/1987 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Oui","Oui","11/09/2017 10:44:58","2025-12-07 15:02:53","Oui","348"
"BEN-00357","Monsieur","Garnier","Laurent","Garnier Laurent","laurent.garnier@test.ch","410226751297","410776112382","Chemin des Vignes 66","","1203","GENEVE","18/11/1980 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Oui","Oui","21/09/2017 09:42:13","2025-12-07 15:02:53","Oui","357"
"BEN-00358","Madame","Faure","Julie","Faure Julie","julie.faure@email.ch","410228198868","410793189919","Chemin de Bellevue 31","","1214","VERNIER","19/01/1986 00:00:00","FranÃ§ais","","","","","","Actif","","Autres","","","","","Non","Non","21/09/2017 12:45:32","2025-12-07 15:02:53","Oui","358"
"BEN-00359","Madame","Rousseau","Christine","Rousseau Christine","christine.rousseau@exemple.ch","410224696882","410778729466","Route de Meyrin 15","","1204","GENEVE","09/03/1985 00:00:00","FranÃ§ais","","","","","","Ponctuel","01/01/2018 00:00:00","Bénéficiaires","","","","","Non","Oui","25/09/2017 11:22:38","2025-12-07 15:02:53","Oui","359"
"BEN-00361","Monsieur","Blanc","Sylvie","Blanc Sylvie","sylvie.blanc@mail.ch","410221231528","410781312164","Avenue des Alpes 59","","1213","PETIT-LANCY","08/10/1974 00:00:00","FranÃ§ais","","","","","","Ponctuel","28/10/2021 00:00:00","Tél","","","","","Non","Oui","27/09/2017 15:47:14","2025-12-07 15:02:53","Oui","361"
"BEN-00362","Madame","Guerin","Sandrine","Guerin Sandrine","sandrine.guerin@contact.ch","410229429595","410791352218","Avenue de France 88","","1218","GRAND-SACONNEX","27/08/1975 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Non","27/09/2017 15:51:27","2025-12-07 15:02:53","Oui","362"
"BEN-00363","Monsieur","Muller","ValÃ©rie","Muller ValÃ©rie","valaerie.muller@test.ch","410229831858","410773034864","Rue du Commerce 64","","1209","GENEVE","17/08/1953 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Email","","","","","Non","Oui","28/09/2017 15:15:31","2025-12-07 15:02:53","Oui","363"
"BEN-00366","Madame","Henry","Michel","Henry Michel","michel.henry@email.ch","410227253429","410784991899","Rue des Ecoles 5","","1228","PLAN-LES-OUATES","09/08/1983 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","04/10/2017 10:10:32","2025-12-07 15:02:53","Oui","366"
"BEN-00368","Madame","Roussel","Bernard","Roussel Bernard","bernard.roussel@exemple.ch","410224357345","410792415450","Chemin des Pins 4","","1228","PLAN-LES-OUATES","20/08/1946 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","10/10/2017 16:22:44","2025-12-07 15:02:53","Oui","368"
"BEN-00369","Madame","Nicolas","Alain","Nicolas Alain","alain.nicolas@mail.ch","410223346769","410786572152","Rue de la Fontaine 27","","1200","GENEVE","05/01/1972 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","10/10/2017 16:26:38","2025-12-07 15:02:53","Oui","369"
"BEN-00370","Monsieur","Perrin","FranÃ§ois","Perrin FranÃ§ois","franacois.perrin@contact.ch","410227574012","410779713745","Route des Acacias 23","","1227","CAROUGE","24/01/1964 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Non","10/10/2017 16:31:03","2025-12-07 15:02:53","Oui","370"
"BEN-00371","Madame","Meyer","Thierry","Meyer Thierry","thierry.meyer@test.ch","410228958840","410763377259","Avenue de la LibertÃ© 92","","1214","VERNIER","22/11/1987 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","10/10/2017 16:34:01","2025-12-07 15:02:53","Oui","371"
"BEN-00373","Madame","Clement","Anne","Clement Anne","anne.clement@email.ch","410222984649","410797979733","Avenue du Lac 26","","1205","GENEVE","04/05/1950 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","12/10/2017 15:43:04","2025-12-07 15:02:53","Oui","373"
"BEN-00374","Monsieur","Dufour","Martine","Dufour Martine","martine.dufour@exemple.ch","410228076948","410763872967","Avenue des Alpes 89","","1207","GENEVE","18/06/1991 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","12/10/2017 15:47:34","2025-12-07 15:02:53","Oui","374"
"BEN-00375","Monsieur","Fontaine","FranÃ§oise","Fontaine FranÃ§oise","franacoise.fontaine@mail.ch","410224475520","410772343288","Chemin des Vignes 40","","1213","PETIT-LANCY","17/03/1960 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Email","","","","","Non","Oui","18/10/2017 11:52:24","2025-12-07 15:02:53","Oui","375"
"BEN-00376","Monsieur","Chevalier","Monique","Chevalier Monique","monique.chevalier@contact.ch","410229926643","410761696044","Rue du Commerce 58","","1208","GENEVE","26/08/1982 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Non","18/10/2017 16:03:12","2025-12-07 15:02:53","Oui","376"
"BEN-00377","Madame","Robin","Nicole","Robin Nicole","nicole.robin@test.ch","410227943632","410781558079","Rue du Stade 71","","1213","PETIT-LANCY","02/09/1952 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Oui","19/10/2017 11:52:29","2025-12-07 15:02:53","Oui","377"
"BEN-00378","Madame","Martin","Patrick","Martin Patrick","patrick.martin@email.ch","410223787359","410761317985","Boulevard du RhÃ´ne 65","","1227","CAROUGE","17/04/1940 00:00:00","FranÃ§ais","","","","","","Actif","","Site Lancy","","","","","Non","Non","19/10/2017 11:55:54","2025-12-07 15:02:53","Oui","378"
"BEN-00379","Madame","Bernard","Daniel","Bernard Daniel","daniel.bernard@exemple.ch","410222839862","410761387669","Route des Acacias 83","","1203","GENEVE","25/01/1985 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:04:06","2025-12-07 15:02:53","Oui","379"
"BEN-00380","Madame","Dubois","Christian","Dubois Christian","christian.dubois@mail.ch","410222996465","410798327971","Route des Acacias 21","","1217","MEYRIN","12/08/1974 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:06:50","2025-12-07 15:02:53","Oui","380"
"BEN-00381","Madame","Thomas","Jacques","Thomas Jacques","jacques.thomas@contact.ch","410224933516","410764677423","Chemin des Pins 45","","1201","GENEVE","25/12/1943 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","19/10/2017 14:09:11","2025-12-07 15:02:53","Oui","381"
"BEN-00382","Madame","Robert","AndrÃ©","Robert AndrÃ©","andrae.robert@test.ch","410226555237","410781342466","Rue de la Fontaine 79","","1209","GENEVE","20/04/1957 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Oui","19/10/2017 14:12:10","2025-12-07 15:02:53","Oui","382"
"BEN-00383","Madame","Petit","CÃ©line","Petit CÃ©line","caeline.petit@email.ch","410228761643","410787565634","Route de Ferney 60","","1202","GENEVE","17/08/1995 00:00:00","FranÃ§ais","","","","","","Actif","","Site Lancy","","","","","Non","Non","19/10/2017 14:19:16","2025-12-07 15:02:53","Oui","383"
"BEN-00384","Madame","Durand","StÃ©phanie","Durand StÃ©phanie","staephanie.durand@exemple.ch","410229343363","410788853462","Rue Jean JaurÃ¨s 79","","1203","GENEVE","05/07/1963 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:22:17","2025-12-07 15:02:53","Oui","384"
"BEN-00385","Madame","Leroy","Corinne","Leroy Corinne","corinne.leroy@mail.ch","410226103645","410784603550","Route de Ferney 41","","1213","PETIT-LANCY","13/03/1992 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:24:41","2025-12-07 15:02:53","Oui","385"
"BEN-00386","Madame","Moreau","Brigitte","Moreau Brigitte","brigitte.moreau@contact.ch","410228958262","410782621235","Chemin de Bellevue 83","","1206","GENEVE","19/11/1954 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:26:26","2025-12-07 15:02:53","Oui","386"
"BEN-00387","Monsieur","Simon","Dominique","Simon Dominique","dominique.simon@test.ch","410225109872","410795827480","Rue de la Fontaine 10","","1208","GENEVE","16/11/1997 00:00:00","FranÃ§ais","","","","","","Actif","","Site Lancy","","","","","Non","Non","19/10/2017 14:29:14","2025-12-07 15:02:53","Oui","387"
"BEN-00388","Madame","Laurent","Eric","Laurent Eric","eric.laurent@email.ch","410229013672","410769672322","Avenue des Champs 36","","1206","GENEVE","16/11/1943 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:32:43","2025-12-07 15:02:53","Oui","388"
"BEN-00389","Madame","Lefebvre","Pascal","Lefebvre Pascal","pascal.lefebvre@exemple.ch","410226398218","410784201586","Route de Meyrin 34","","1213","PETIT-LANCY","28/05/1970 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:36:15","2025-12-07 15:02:53","Oui","389"
"BEN-00390","Madame","Michel","Olivier","Michel Olivier","olivier.michel@mail.ch","410222374163","410765323064","Rue de la Paix 84","","1209","GENEVE","10/04/1966 00:00:00","FranÃ§ais","","","","","","Autre association","","Autres","","","","","Non","Non","19/10/2017 14:38:32","2025-12-07 15:02:53","Oui","390"
"BEN-00391","Madame","Garcia","Bruno","Garcia Bruno","bruno.garcia@contact.ch","410225316035","410768716218","Rue Jean JaurÃ¨s 19","","1209","GENEVE","11/01/1958 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Autres","","","","","Non","Oui","19/10/2017 15:56:06","2025-12-07 15:02:53","Oui","391"
"BEN-00393","Monsieur","David","Vincent","David Vincent","vincent.david@test.ch","410222327043","410772265342","Rue de la Mairie 44","","1228","PLAN-LES-OUATES","03/11/1967 00:00:00","FranÃ§ais","","","","","","Ponctuel","","CGV","","","","","Non","Oui","31/10/2017 11:15:16","2025-12-07 15:02:53","Oui","393"
"BEN-00394","Madame","Bertrand","AgnÃ¨s","Bertrand AgnÃ¨s","agnaes.bertrand@email.ch","410225839479","410773241132","Route de Meyrin 66","","1204","GENEVE","05/04/1973 00:00:00","FranÃ§ais","","","","","","Ponctuel","","CGV","","","","","Non","Oui","31/10/2017 11:18:04","2025-12-07 15:02:53","Oui","394"
"BEN-00395","Monsieur","Roux","GeneviÃ¨ve","Roux GeneviÃ¨ve","geneviaeve.roux@exemple.ch","410222911998","410769599669","Route de Meyrin 36","","1202","GENEVE","21/09/1963 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Email","","","","","Non","Non","01/11/2017 09:38:15","2025-12-07 15:02:53","Oui","395"
"BEN-00397","Madame","Vincent","VÃ©ronique","Vincent VÃ©ronique","vaeronique.vincent@mail.ch","410226584597","410796602031","Rue de la Paix 14","","1204","GENEVE","01/03/1946 00:00:00","FranÃ§ais","","","","","","Actif","10/01/2018 00:00:00","Site Lancy","","","","","Oui","Oui","07/11/2017 16:40:52","2025-12-07 15:02:53","Oui","397"
"BEN-00398","Monsieur","Fournier","Chantal","Fournier Chantal","chantal.fournier@contact.ch","410227229122","410787806050","Avenue de France 70","","1217","MEYRIN","27/05/1973 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","07/11/2017 16:44:26","2025-12-07 15:02:53","Oui","398"
"BEN-00399","Monsieur","Morel","Jacqueline","Morel Jacqueline","jacqueline.morel@test.ch","410225882128","410773707891","Avenue des Alpes 42","","1209","GENEVE","05/01/1944 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","07/11/2017 16:47:10","2025-12-07 15:02:53","Oui","399"
"BEN-00400","Monsieur","Girard","Robert","Girard Robert","robert.girard@email.ch","410229933424","410766767579","Rue de la Paix 57","","1204","GENEVE","21/10/1962 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","07/11/2017 16:50:15","2025-12-07 15:02:53","Oui","400"
"BEN-00401","Monsieur","AndrÃ©","RenÃ©","AndrÃ© RenÃ©","renae.andrae@exemple.ch","410224486535","410799616423","Rue Jean JaurÃ¨s 69","","1206","GENEVE","09/12/1940 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","09/11/2017 16:45:27","2025-12-07 15:02:53","Oui","401"
"BEN-00402","Madame","Mercier","Georges","Mercier Georges","georges.mercier@mail.ch","410224483512","410776985655","Avenue de la Source 70","","1227","CAROUGE","11/05/1944 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Bénéficiaires","","","","","Non","Oui","13/11/2017 13:44:41","2025-12-07 15:02:53","Oui","402"
"BEN-00404","Madame","Dupont","Henri","Dupont Henri","henri.dupont@contact.ch","410227982997","410785451533","Avenue de France 7","","1202","GENEVE","15/10/1986 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Non","14/11/2017 14:32:26","2025-12-07 15:02:53","Oui","404"
"BEN-00405","Madame","Lambert","Louis","Lambert Louis","louis.lambert@test.ch","410221278636","410792667272","Route de Lausanne 16","","1217","MEYRIN","26/10/1993 00:00:00","FranÃ§ais","","","","","","Ponctuel","01/03/2018 00:00:00","Site Lancy","","","","","Non","Oui","14/11/2017 14:36:57","2025-12-07 15:02:53","Oui","405"
"BEN-00406","Madame","Bonnet","Sophie","Bonnet Sophie","sophie.bonnet@email.ch","410227571625","410763326058","Rue des Ecoles 93","","1201","GENEVE","27/02/1969 00:00:00","FranÃ§ais","","","","","","En attente","","Genève Bénévolat","","","","","Non","Oui","16/11/2017 11:40:51","2025-12-07 15:02:53","Oui","406"
"BEN-00407","Monsieur","FranÃ§ois","Marie","FranÃ§ois Marie","marie.franacois@exemple.ch","410229283952","410787569097","Chemin de la Colline 77","","1228","PLAN-LES-OUATES","26/05/1994 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Non","16/11/2017 11:55:43","2025-12-07 15:02:53","Oui","407"
"BEN-00410","Madame","Martinez","Isabelle","Martinez Isabelle","isabelle.martinez@mail.ch","410229691590","410782739458","Avenue de la Source 33","","1207","GENEVE","26/01/1995 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Autres","","","","","Non","Oui","20/11/2017 16:51:44","2025-12-07 15:02:53","Oui","410"
"BEN-00411","Madame","Legrand","Catherine","Legrand Catherine","catherine.legrand@contact.ch","410222904329","410778075340","Rue du Commerce 28","","1205","GENEVE","28/01/1977 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Services sociaux","","","","","Non","Oui","22/11/2017 15:27:32","2025-12-07 15:02:53","Oui","411"
"BEN-00412","Madame","Garnier","Nathalie","Garnier Nathalie","nathalie.garnier@test.ch","410224924147","410787839380","Route de Lausanne 5","","1227","CAROUGE","17/04/1943 00:00:00","FranÃ§ais","","","","","","Actif","15/02/2021 00:00:00","Site Lancy","","","","","Non","Oui","23/11/2017 09:53:00","2025-12-07 15:02:53","Oui","412"
"BEN-00413","Madame","Faure","Pierre","Faure Pierre","pierre.faure@email.ch","410227414056","410782069263","Avenue Victor Hugo 30","","1218","GRAND-SACONNEX","04/08/1941 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Non","23/11/2017 11:40:52","2025-12-07 15:02:53","Oui","413"
"BEN-00414","Monsieur","Rousseau","Jean","Rousseau Jean","jean.rousseau@exemple.ch","410226007896","410798449586","Rue de la Mairie 56","","1202","GENEVE","03/03/1967 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","23/11/2017 11:43:16","2025-12-07 15:02:53","Oui","414"
"BEN-00417","Madame","Blanc","Marc","Blanc Marc","marc.blanc@mail.ch","410223265693","410795161345","Chemin de la Colline 8","","1218","GRAND-SACONNEX","13/10/1996 00:00:00","FranÃ§ais","","","","","","En attente","","Autres","","","","","Non","Oui","23/11/2017 13:41:13","2025-12-07 15:02:53","Oui","417"
"BEN-00422","Monsieur","Guerin","Philippe","Guerin Philippe","philippe.guerin@contact.ch","410229386023","410778099618","Rue des Acacias 11","","1200","GENEVE","02/10/1967 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Tél","","","","","Non","Oui","11/12/2017 15:51:28","2025-12-07 15:02:53","Oui","422"
"BEN-00423","Monsieur","Muller","Laurent","Muller Laurent","laurent.muller@test.ch","410223461533","410792945581","Route de Ferney 61","","1218","GRAND-SACONNEX","22/01/1952 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Non","12/12/2017 11:15:17","2025-12-07 15:02:53","Oui","423"
"BEN-00424","Madame","Henry","Julie","Henry Julie","julie.henry@email.ch","410222891458","410778245173","Rue du Commerce 96","","1214","VERNIER","24/07/1979 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Genève Bénévolat","","","","","Non","Oui","12/12/2017 11:20:45","2025-12-07 15:02:53","Oui","424"
"BEN-00425","Madame","Roussel","Christine","Roussel Christine","christine.roussel@exemple.ch","410223952117","410775071877","Rue de la Paix 84","","1200","GENEVE","06/05/1987 00:00:00","FranÃ§ais","","","","","","En attente","","Site Lancy","","","","","Non","Oui","12/12/2017 11:29:36","2025-12-07 15:02:53","Oui","425"
"BEN-00426","Madame","Nicolas","Sylvie","Nicolas Sylvie","sylvie.nicolas@mail.ch","410224224367","410766615659","Rue des Ecoles 43","","1227","CAROUGE","26/06/1974 00:00:00","FranÃ§ais","","","","","","En attente","","Email","","","","","Non","Oui","12/12/2017 11:35:20","2025-12-07 15:02:53","Oui","426"
"BEN-00427","Madame","Perrin","Sandrine","Perrin Sandrine","sandrine.perrin@contact.ch","410229556512","410775168953","Rue des Acacias 79","","1227","CAROUGE","25/07/1975 00:00:00","FranÃ§ais","","","","","","Ponctuel","25/11/2017 00:00:00","Tél","","","","","Non","Oui","21/12/2017 09:42:40","2025-12-07 15:02:53","Oui","427"
"BEN-01096","Monsieur","Meyer","ValÃ©rie","Meyer ValÃ©rie","valaerie.meyer@test.ch","410229528678","410781798660","Chemin des Fleurs 71","","1201","GENEVE","05/03/1946 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Email","","","","","Non","Oui","22/12/2020 15:39:43","2025-12-07 15:02:53","Oui","1096"
"BEN-01100","Monsieur","Clement","Michel","Clement Michel","michel.clement@email.ch","410229148748","410787455131","Rue des Acacias 51","","1227","CAROUGE","15/02/1949 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Email","","","","","Non","Oui","12/01/2021 15:50:08","2025-12-07 15:02:53","Oui","1100"
"BEN-01101","Madame","Dufour","Bernard","Dufour Bernard","bernard.dufour@exemple.ch","410226961743","410789948982","Avenue de la LibertÃ© 24","","1214","VERNIER","06/01/1984 00:00:00","FranÃ§ais","","","","","","Ponctuel","01/04/2021 00:00:00","Email","","","","","Non","Oui","26/01/2021 14:42:43","2025-12-07 15:02:53","Oui","1101"
"BEN-01104","Madame","Fontaine","Alain","Fontaine Alain","alain.fontaine@mail.ch","410228825336","410767819467","Chemin des Vignes 63","","1214","VERNIER","28/10/1975 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Autres","","","","","Non","Oui","03/02/2021 12:22:53","2025-12-07 15:02:53","Oui","1104"
"BEN-01106","Monsieur","Chevalier","FranÃ§ois","Chevalier FranÃ§ois","franacois.chevalier@contact.ch","410221971481","410775099373","Avenue Victor Hugo 66","","1205","GENEVE","24/02/1959 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","15/02/2021 12:41:06","2025-12-07 15:02:53","Oui","1106"
"BEN-01108","Madame","Robin","Thierry","Robin Thierry","thierry.robin@test.ch","410228355152","410786491812","Chemin des Fleurs 57","","1203","GENEVE","24/04/1991 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Tél","","","","","Non","Non","24/02/2021 11:26:28","2025-12-07 15:02:53","Oui","1108"
"BEN-01109","Monsieur","Martin","Anne","Martin Anne","anne.martin@email.ch","410225189484","410777162844","Rue de la Mairie 24","","1228","PLAN-LES-OUATES","06/04/1956 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","24/02/2021 12:36:57","2025-12-07 15:02:53","Oui","1109"
"BEN-01110","Monsieur","Bernard","Martine","Bernard Martine","martine.bernard@exemple.ch","410229645183","410797294915","Avenue de France 96","","1218","GRAND-SACONNEX","10/03/1977 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Site Lancy","","","","","Non","Oui","24/02/2021 12:42:55","2025-12-07 15:02:53","Oui","1110"
"BEN-01111","Monsieur","Dubois","FranÃ§oise","Dubois FranÃ§oise","franacoise.dubois@mail.ch","410224281810","410798308944","Avenue des Alpes 61","","1200","GENEVE","03/03/1959 00:00:00","FranÃ§ais","","","","","","Ponctuel","26/10/2021 00:00:00","Site Lancy","","","","","Non","Oui","03/03/2021 09:34:48","2025-12-07 15:02:53","Oui","1111"
"BEN-00432","Monsieur","Thomas","Monique","Thomas Monique","monique.thomas@contact.ch","410226477380","410768634554","Rue du Parc 21","","1201","GENEVE","27/11/1996 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Email","","","","","Non","Oui","10/01/2018 15:50:46","2025-12-07 15:02:53","Oui","432"
"BEN-00436","Madame","Robert","Nicole","Robert Nicole","nicole.robert@test.ch","410222268728","410767752925","Rue du Stade 86","","1228","PLAN-LES-OUATES","09/02/1996 00:00:00","FranÃ§ais","","","","","","Ponctuel","","Tél","","","","","Non","Non","24/01/2018 10:26:19","2025-12-07 15:02:53","Oui","436"
"BEN-00439","Madame","Petit","Patrick","Petit Patrick","patrick.petit@email.ch","410225428929","410769693141","Chemin de la Colline 4","","1214","VERNIER","04/10/1942 00:00:00","FranÃ§ais","","","","","","Ponctuel","29/11/2017 00:00:00","Autres","","","","","Non","Non","25/01/2018 10:13:26","2025-12-07 15:02:53","Oui","439"
"BEN-00440","Madame","Durand","Daniel","Durand Daniel","daniel.durand@exemple.ch","410228199125","410765683153","Route des Acacias 68","","1214","VERNIER","23/04/1953 00:00:00","FranÃ§ais","","","","","","Ponctuel","29/11/2017 00:00:00","Autres","","","","","Non","Non","25/01/2018 10:19:18","2025-12-07 15:02:53","Oui","440"
"BEN-00441","Madame","Leroy","Christian","Leroy Christian","christian.leroy@mail.ch","410225327011","410771768963","Rue du Parc 68","","1217","MEYRIN","26/02/1967 00:00:00","FranÃ§ais","","","","","","Ponctuel","29/11/2017 00:00:00","Autres","","","","","Non","Non","25/01/2018 10:22:16","2025-12-07 15:02:53","Oui","441"
"BEN-00442","Monsieur","Moreau","Jacques","Moreau Jacques","jacques.moreau@contact.ch","410226227121","410785515797","Avenue du Lac 58","","1202","GENEVE","07/12/1942 00:00:00","FranÃ§ais","","","","","","Ponctuel","29/11/2017 00:00:00","Autres","","","","","Non","Non","25/01/2018 10:25:32","2025-12-07 15:02:53","Oui","442"
