"NumeroBeneficiaire","Civilite","Nom","Prenom","NomComplet","Email","Telephone","Adresse1","Adresse2","NPA","Ville","DateNaissance","Besoins","Referent","Horaires","DateDebut","Historique","Statut","RGPDConsentement","RGPDDateConsentement","SourceID"
"BNF-00252","Monsieur","Martin","Eric","Martin Eric","eric.martin@email.ch","410221216312","Route de Gen̬ve 39","","1228","PLAN-LES-OUATES","16/04/1948 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","252"
"BNF-00254","Madame","Bernard","Pascal","Bernard Pascal","pascal.bernard@exemple.ch","410228866337","Rue des Ecoles 31","","1217","MEYRIN","20/03/1984 00:00:00","","","","15/05/2019 00:00:00","","Actif","Oui","2025-12-07 15:02:53","254"
"BNF-00255","Madame","Dubois","Olivier","Dubois Olivier","olivier.dubois@mail.ch","410229331699","Route de Gen̬ve 56","","1218","GRAND-SACONNEX","27/09/1977 00:00:00","","","","08/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","255"
"BNF-00256","Monsieur","Thomas","Bruno","Thomas Bruno","bruno.thomas@contact.ch","410229516088","Chemin de Bellevue 30","","1214","VERNIER","27/05/1985 00:00:00","","","","10/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","256"
"BNF-00257","Madame","Robert","Vincent","Robert Vincent","vincent.robert@test.ch","410224617071","Avenue de la Source 22","","1213","PETIT-LANCY","05/08/1962 00:00:00","","","","08/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","257"
"BNF-00258","Madame","Petit","Agn̬s","Petit Agn̬s","agnaes.petit@email.ch","410229588132","Rue de la Gare 22","","1203","GENEVE","23/03/1940 00:00:00","","","","08/10/2019 00:00:00","","Actif","Oui","2025-12-07 15:02:53","258"
"BNF-00259","Madame","Durand","Genevi̬ve","Durand Genevi̬ve","geneviaeve.durand@exemple.ch","410224752446","Rue de la Paix 55","","1207","GENEVE","25/12/1997 00:00:00","","","","22/06/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","259"
"BNF-00260","Madame","Leroy","V̩ronique","Leroy V̩ronique","vaeronique.leroy@mail.ch","410222193328","Route de Ferney 46","","1202","GENEVE","11/01/1965 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","260"
"BNF-00263","Madame","Moreau","Chantal","Moreau Chantal","chantal.moreau@contact.ch","410228135422","Route des Acacias 86","","1228","PLAN-LES-OUATES","05/05/1950 00:00:00","","","","22/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","263"
"BNF-00265","Madame","Simon","Jacqueline","Simon Jacqueline","jacqueline.simon@test.ch","410227124022","Avenue du Lac 76","","1203","GENEVE","18/05/1953 00:00:00","","","","22/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","265"
"BNF-00267","Madame","Laurent","Robert","Laurent Robert","robert.laurent@email.ch","410224734488","Chemin de la For̻t 73","","1213","PETIT-LANCY","22/01/1955 00:00:00","","","","11/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","267"
"BNF-00271","Madame","Lefebvre","Ren̩","Lefebvre Ren̩","renae.lefebvre@exemple.ch","410224598780","Rue du Commerce 46","","1214","VERNIER","19/12/1975 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","271"
"BNF-00279","Madame","Michel","Georges","Michel Georges","georges.michel@mail.ch","410221047187","Route de Ferney 53","","1228","PLAN-LES-OUATES","03/01/1998 00:00:00","","","","18/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","279"
"BNF-00280","Madame","Garcia","Henri","Garcia Henri","henri.garcia@contact.ch","410221545795","Rue du Stade 41","","1203","GENEVE","09/03/1985 00:00:00","","","","22/05/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","280"
"BNF-00283","Madame","David","Louis","David Louis","louis.david@test.ch","410224356337","Avenue de France 4","","1218","GRAND-SACONNEX","10/11/1953 00:00:00","","","","01/06/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","283"
"BNF-00309","Madame","Bertrand","Sophie","Bertrand Sophie","sophie.bertrand@email.ch","410227574520","Chemin des Fleurs 77","","1206","GENEVE","20/06/1965 00:00:00","","","","19/06/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","309"
"BNF-00310","Madame","Roux","Marie","Roux Marie","marie.roux@exemple.ch","410229058649","Chemin des Vignes 4","","1202","GENEVE","07/12/1991 00:00:00","","","","19/06/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","310"
"BNF-00311","Monsieur","Vincent","Isabelle","Vincent Isabelle","isabelle.vincent@mail.ch","410225396173","Avenue de France 40","","1207","GENEVE","15/07/1977 00:00:00","","","","14/06/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","311"
"BNF-00312","Madame","Fournier","Catherine","Fournier Catherine","catherine.fournier@contact.ch","410223984092","Avenue Victor Hugo 94","","1204","GENEVE","22/09/1979 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","312"
"BNF-00313","Monsieur","Morel","Nathalie","Morel Nathalie","nathalie.morel@test.ch","410222254840","Avenue de France 38","","1208","GENEVE","19/01/1991 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","313"
"BNF-00315","Madame","Girard","Pierre","Girard Pierre","pierre.girard@email.ch","410223879675","Rue des Ecoles 36","","1203","GENEVE","22/07/1986 00:00:00","","","","10/07/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","315"
"BNF-00322","Monsieur","Andr̩","Jean","Andr̩ Jean","jean.andrae@exemple.ch","410226003228","Avenue de la Libert̩ 92","","1202","GENEVE","12/04/1945 00:00:00","","","","01/06/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","322"
"BNF-00323","Monsieur","Mercier","Marc","Mercier Marc","marc.mercier@mail.ch","410226268326","Route de Lausanne 41","","1209","GENEVE","28/10/1980 00:00:00","","","","01/08/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","323"
"BNF-00324","Monsieur","Dupont","Philippe","Dupont Philippe","philippe.dupont@contact.ch","410228203213","Avenue de la Source 17","","1202","GENEVE","04/12/1976 00:00:00","","","","10/07/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","324"
"BNF-00329","Madame","Lambert","Laurent","Lambert Laurent","laurent.lambert@test.ch","410229383645","Rue Jean Jaur̬s 66","","1214","VERNIER","14/02/1981 00:00:00","","","","06/09/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","329"
"BNF-00331","Madame","Bonnet","Julie","Bonnet Julie","julie.bonnet@email.ch","410227638888","Avenue Victor Hugo 14","","1214","VERNIER","27/01/1999 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","331"
"BNF-00339","Madame","Fran̤ois","Christine","Fran̤ois Christine","christine.franacois@exemple.ch","410221399945","Rue du Commerce 74","","1228","PLAN-LES-OUATES","06/06/1956 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","339"
"BNF-00341","Madame","Martinez","Sylvie","Martinez Sylvie","sylvie.martinez@mail.ch","410227727987","Route de Meyrin 66","","1205","GENEVE","03/06/1991 00:00:00","","","","31/08/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","341"
"BNF-00347","Madame","Legrand","Sandrine","Legrand Sandrine","sandrine.legrand@contact.ch","410229595462","Rue de la Fontaine 68","","1214","VERNIER","15/03/1954 00:00:00","","","","11/09/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","347"
"BNF-00348","Madame","Garnier","Val̩rie","Garnier Val̩rie","valaerie.garnier@test.ch","410221017271","Rue de la Gare 14","","1214","VERNIER","21/11/1989 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","348"
"BNF-00349","Madame","Faure","Michel","Faure Michel","michel.faure@email.ch","410221091734","Avenue de la Libert̩ 55","","1218","GRAND-SACONNEX","14/11/1978 00:00:00","","","","21/09/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","349"
"BNF-00350","Madame","Rousseau","Bernard","Rousseau Bernard","bernard.rousseau@exemple.ch","410224696668","Route des Acacias 33","","1203","GENEVE","01/05/1966 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","350"
"BNF-00351","Madame","Blanc","Alain","Blanc Alain","alain.blanc@mail.ch","410224128244","Chemin de Bellevue 10","","1203","GENEVE","08/04/1963 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","351"
"BNF-00353","Madame","Guerin","Fran̤ois","Guerin Fran̤ois","franacois.guerin@contact.ch","410222528152","Route de Meyrin 69","","1200","GENEVE","22/12/1987 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","353"
"BNF-00354","Madame","Muller","Thierry","Muller Thierry","thierry.muller@test.ch","410222119530","Chemin des Pins 83","","1206","GENEVE","28/07/1985 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","354"
"BNF-00361","Monsieur","Henry","Anne","Henry Anne","anne.henry@email.ch","410225261581","Avenue de la Source 67","","1213","PETIT-LANCY","01/11/1972 00:00:00","","","","27/09/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","361"
"BNF-00362","Madame","Roussel","Martine","Roussel Martine","martine.roussel@exemple.ch","410222416828","Avenue de France 34","","1218","GRAND-SACONNEX","14/08/1950 00:00:00","","","","27/09/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","362"
"BNF-00364","Madame","Nicolas","Fran̤oise","Nicolas Fran̤oise","franacoise.nicolas@mail.ch","410229126716","Rue du Commerce 24","","1204","GENEVE","02/05/1943 00:00:00","","","","03/10/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","364"
"BNF-00367","Madame","Perrin","Monique","Perrin Monique","monique.perrin@contact.ch","410222016566","Chemin de la For̻t 24","","1227","CAROUGE","03/10/1968 00:00:00","","","","09/10/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","367"
"BNF-00372","Madame","Meyer","Nicole","Meyer Nicole","nicole.meyer@test.ch","410223976956","Rue Jean Jaur̬s 36","","1200","GENEVE","18/04/1985 00:00:00","","","","16/10/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","372"
"BNF-00392","Monsieur","Clement","Patrick","Clement Patrick","patrick.clement@email.ch","410224659236","Route des Acacias 17","","1205","GENEVE","05/12/1998 00:00:00","","","","26/10/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","392"
"BNF-00395","Monsieur","Dufour","Daniel","Dufour Daniel","daniel.dufour@exemple.ch","410225885864","Rue de la Gare 6","","1218","GRAND-SACONNEX","22/03/1972 00:00:00","","","","01/11/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","395"
"BNF-00397","Madame","Fontaine","Christian","Fontaine Christian","christian.fontaine@mail.ch","410221054493","Chemin de la For̻t 83","","1202","GENEVE","25/04/1943 00:00:00","","","","24/03/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","397"
"BNF-00402","Madame","Chevalier","Jacques","Chevalier Jacques","jacques.chevalier@contact.ch","410223167750","Rue de la Paix 64","","1205","GENEVE","20/01/1979 00:00:00","","","","09/10/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","402"
"BNF-00403","Madame","Robin","Andr̩","Robin Andr̩","andrae.robin@test.ch","410222609582","Route des Acacias 10","","1217","MEYRIN","10/02/1976 00:00:00","","","","14/11/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","403"
"BNF-00408","Madame","Martin","C̩line","Martin C̩line","caeline.martin@email.ch","410224883873","Rue du Parc 9","","1204","GENEVE","07/10/1991 00:00:00","","","","17/05/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","408"
"BNF-00409","Madame","Bernard","St̩phanie","Bernard St̩phanie","staephanie.bernard@exemple.ch","410221085230","Chemin des Vignes 54","","1217","MEYRIN","10/11/1951 00:00:00","","","","23/11/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","409"
"BNF-00411","Madame","Dubois","Corinne","Dubois Corinne","corinne.dubois@mail.ch","410224265211","Rue du Commerce 93","","1206","GENEVE","13/03/1989 00:00:00","","","","24/01/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","411"
"BNF-00412","Madame","Thomas","Brigitte","Thomas Brigitte","brigitte.thomas@contact.ch","410227843168","Route de Gen̬ve 74","","1203","GENEVE","17/02/1957 00:00:00","","","","23/02/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","412"
"BNF-00415","Madame","Robert","Dominique","Robert Dominique","dominique.robert@test.ch","410228013435","Chemin de Bellevue 11","","1213","PETIT-LANCY","22/01/1971 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","415"
"BNF-00416","Madame","Petit","Eric","Petit Eric","eric.petit@email.ch","410228519545","Route de Gen̬ve 65","","1206","GENEVE","16/06/1977 00:00:00","","","","01/12/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","416"
"BNF-00418","Madame","Durand","Pascal","Durand Pascal","pascal.durand@exemple.ch","410224072244","Avenue Victor Hugo 98","","1214","VERNIER","21/03/1942 00:00:00","","","","01/12/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","418"
"BNF-00420","Madame","Leroy","Olivier","Leroy Olivier","olivier.leroy@mail.ch","410226369839","Rue Jean Jaur̬s 95","","1200","GENEVE","08/11/1958 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","420"
"BNF-00421","Madame","Moreau","Bruno","Moreau Bruno","bruno.moreau@contact.ch","410228545241","Chemin des Pins 44","","1204","GENEVE","09/07/1960 00:00:00","","","","19/02/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","421"
"BNF-00427","Madame","Simon","Vincent","Simon Vincent","vincent.simon@test.ch","410227974656","Boulevard du Rh̫ne 88","","1218","GRAND-SACONNEX","21/03/1988 00:00:00","","","","01/01/2013 00:00:00","","Actif","Oui","2025-12-07 15:02:53","427"
"BNF-00429","Monsieur","Laurent","Agn̬s","Laurent Agn̬s","agnaes.laurent@email.ch","410229408784","Rue du Commerce 81","","1217","MEYRIN","21/11/1944 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","429"
"BNF-01094","Madame","Lefebvre","Genevi̬ve","Lefebvre Genevi̬ve","geneviaeve.lefebvre@exemple.ch","410224613229","Rue des Ecoles 47","","1208","GENEVE","04/01/1967 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","1094"
"BNF-01096","Monsieur","Michel","V̩ronique","Michel V̩ronique","vaeronique.michel@mail.ch","410223787187","Rue de la Fontaine 69","","1203","GENEVE","01/05/1945 00:00:00","","","","01/11/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1096"
"BNF-01097","Monsieur","Garcia","Chantal","Garcia Chantal","chantal.garcia@contact.ch","410228201778","Avenue Victor Hugo 62","","1217","MEYRIN","28/08/1965 00:00:00","","","","11/01/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1097"
"BNF-01098","Madame","David","Jacqueline","David Jacqueline","jacqueline.david@test.ch","410223514033","Route de Lausanne 27","","1205","GENEVE","16/04/1972 00:00:00","","","","12/01/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1098"
"BNF-01099","Madame","Bertrand","Robert","Bertrand Robert","robert.bertrand@email.ch","410222895611","Rue du Parc 87","","1217","MEYRIN","27/03/1986 00:00:00","","","","12/01/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1099"
"BNF-01100","Monsieur","Roux","Ren̩","Roux Ren̩","renae.roux@exemple.ch","410229325318","Chemin de la Colline 61","","1203","GENEVE","27/04/1980 00:00:00","","","","15/05/2025 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1100"
"BNF-01102","Madame","Vincent","Georges","Vincent Georges","georges.vincent@mail.ch","410225002952","Rue du Stade 26","","1206","GENEVE","01/07/1950 00:00:00","","","","01/09/2020 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1102"
"BNF-01103","Madame","Fournier","Henri","Fournier Henri","henri.fournier@contact.ch","410223763285","Rue du Commerce 49","","1204","GENEVE","12/02/1994 00:00:00","","","","01/04/2020 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1103"
"BNF-01105","Monsieur","Morel","Louis","Morel Louis","louis.morel@test.ch","410228176112","Avenue de France 40","","1202","GENEVE","09/12/1974 00:00:00","","","","02/02/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1105"
"BNF-01107","Madame","Girard","Sophie","Girard Sophie","sophie.girard@email.ch","410227444453","Avenue des Champs 14","","1207","GENEVE","28/12/1968 00:00:00","","","","12/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1107"
"BNF-01111","Monsieur","Andr̩","Marie","Andr̩ Marie","marie.andrae@exemple.ch","410226254382","Avenue de la Source 37","","1209","GENEVE","25/06/1993 00:00:00","","","","28/10/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1111"
"BNF-01112","Monsieur","Mercier","Isabelle","Mercier Isabelle","isabelle.mercier@mail.ch","410229239552","Route des Acacias 36","","1227","CAROUGE","08/08/1987 00:00:00","","","","25/11/2020 00:00:00","","Actif","Oui","2025-12-07 15:02:53","1112"
"BNF-00430","Madame","Dupont","Catherine","Dupont Catherine","catherine.dupont@contact.ch","410221618688","Chemin des Pins 76","","1206","GENEVE","25/05/1946 00:00:00","","","","09/01/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","430"
"BNF-00431","Monsieur","Lambert","Nathalie","Lambert Nathalie","nathalie.lambert@test.ch","410228271659","Route de Lausanne 73","","1204","GENEVE","22/09/1998 00:00:00","","","","09/01/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","431"
"BNF-00434","Monsieur","Bonnet","Pierre","Bonnet Pierre","pierre.bonnet@email.ch","410221396079","Rue de la Gare 97","","1213","PETIT-LANCY","05/12/1973 00:00:00","","","","22/01/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","434"
"BNF-00435","Madame","Fran̤ois","Jean","Fran̤ois Jean","jean.franacois@exemple.ch","410227892191","Avenue du Lac 51","","1206","GENEVE","05/10/1944 00:00:00","","","","23/01/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","435"
"BNF-00437","Madame","Martinez","Marc","Martinez Marc","marc.martinez@mail.ch","410223372273","Route des Acacias 92","","1203","GENEVE","26/12/1955 00:00:00","","","","01/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","437"
"BNF-00450","Madame","Legrand","Philippe","Legrand Philippe","philippe.legrand@contact.ch","410224661521","Chemin des Pins 80","","1204","GENEVE","16/01/1977 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","450"
"BNF-00453","Madame","Garnier","Laurent","Garnier Laurent","laurent.garnier@test.ch","410224571190","Chemin de la Colline 56","","1214","VERNIER","25/06/1956 00:00:00","","","","25/02/2021 00:00:00","","Actif","Oui","2025-12-07 15:02:53","453"
"BNF-00454","Monsieur","Faure","Julie","Faure Julie","julie.faure@email.ch","410224175817","Route de Ferney 50","","1205","GENEVE","14/11/1969 00:00:00","","","","19/02/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","454"
"BNF-00455","Monsieur","Rousseau","Christine","Rousseau Christine","christine.rousseau@exemple.ch","410228526449","Route de Meyrin 27","","1201","GENEVE","26/06/1956 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","455"
"BNF-00457","Madame","Blanc","Sylvie","Blanc Sylvie","sylvie.blanc@mail.ch","410223543175","Rue du Commerce 42","","1203","GENEVE","21/09/1987 00:00:00","","","","06/02/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","457"
"BNF-00459","Monsieur","Guerin","Sandrine","Guerin Sandrine","sandrine.guerin@contact.ch","410224278349","Rue du Stade 20","","1227","CAROUGE","20/12/1965 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","459"
"BNF-00460","Madame","Muller","Val̩rie","Muller Val̩rie","valaerie.muller@test.ch","410227106351","Rue des Acacias 26","","1228","PLAN-LES-OUATES","26/01/1982 00:00:00","","","","19/02/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","460"
"BNF-00462","Madame","Henry","Michel","Henry Michel","michel.henry@email.ch","410224265029","Boulevard du Rh̫ne 5","","1218","GRAND-SACONNEX","14/05/1999 00:00:00","","","","26/02/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","462"
"BNF-00463","Madame","Roussel","Bernard","Roussel Bernard","bernard.roussel@exemple.ch","410222638418","Avenue des Alpes 15","","1205","GENEVE","19/08/1963 00:00:00","","","","26/02/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","463"
"BNF-00470","Madame","Nicolas","Alain","Nicolas Alain","alain.nicolas@mail.ch","410228016470","Rue de la Paix 83","","1200","GENEVE","13/01/1960 00:00:00","","","","13/09/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","470"
"BNF-00477","Madame","Perrin","Fran̤ois","Perrin Fran̤ois","franacois.perrin@contact.ch","410228402422","Rue du Commerce 47","","1213","PETIT-LANCY","24/03/1942 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","477"
"BNF-00479","Madame","Meyer","Thierry","Meyer Thierry","thierry.meyer@test.ch","410226534428","Chemin de la For̻t 66","","1213","PETIT-LANCY","17/02/1974 00:00:00","","","","08/03/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","479"
"BNF-00480","Monsieur","Clement","Anne","Clement Anne","anne.clement@email.ch","410222769149","Chemin des Fleurs 95","","1208","GENEVE","28/07/1967 00:00:00","","","","13/03/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","480"
"BNF-00481","Monsieur","Dufour","Martine","Dufour Martine","martine.dufour@exemple.ch","410223656195","Avenue des Alpes 99","","1207","GENEVE","26/05/1954 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","481"
"BNF-00482","Madame","Fontaine","Fran̤oise","Fontaine Fran̤oise","franacoise.fontaine@mail.ch","410222161667","Route de Gen̬ve 83","","1206","GENEVE","03/10/1957 00:00:00","","","","14/03/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","482"
"BNF-00483","Monsieur et Madame","Chevalier","Monique","Chevalier Monique","monique.chevalier@contact.ch","410227391614","Avenue de la Libert̩ 80","","1205","GENEVE","07/12/1991 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","483"
"BNF-00484","Monsieur","Robin","Nicole","Robin Nicole","nicole.robin@test.ch","410221092772","Chemin de Bellevue 78","","1213","PETIT-LANCY","16/07/1998 00:00:00","","","","16/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","484"
"BNF-00490","Monsieur","Martin","Patrick","Martin Patrick","patrick.martin@email.ch","410227313076","Rue des Acacias 99","","1214","VERNIER","09/07/1982 00:00:00","","","","03/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","490"
"BNF-00491","Madame","Bernard","Daniel","Bernard Daniel","daniel.bernard@exemple.ch","410226794442","Chemin des Pins 61","","1218","GRAND-SACONNEX","08/09/1956 00:00:00","","","","03/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","491"
"BNF-00492","Madame","Dubois","Christian","Dubois Christian","christian.dubois@mail.ch","410229666746","Chemin de Bellevue 59","","1218","GRAND-SACONNEX","27/09/1965 00:00:00","","","","04/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","492"
"BNF-00493","Madame","Thomas","Jacques","Thomas Jacques","jacques.thomas@contact.ch","410221971546","Chemin des Pins 18","","1214","VERNIER","11/05/1968 00:00:00","","","","09/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","493"
"BNF-00494","Madame","Robert","Andr̩","Robert Andr̩","andrae.robert@test.ch","410228861044","Boulevard du Rh̫ne 65","","1214","VERNIER","02/11/1955 00:00:00","","","","15/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","494"
"BNF-00497","Madame","Petit","C̩line","Petit C̩line","caeline.petit@email.ch","410229157496","Route de Meyrin 20","","1214","VERNIER","06/10/1944 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","497"
"BNF-00501","Madame","Durand","St̩phanie","Durand St̩phanie","staephanie.durand@exemple.ch","410228415621","Route de Gen̬ve 24","","1208","GENEVE","19/10/1973 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","501"
"BNF-00504","Madame","Leroy","Corinne","Leroy Corinne","corinne.leroy@mail.ch","410226502464","Rue de la Fontaine 74","","1206","GENEVE","13/05/1982 00:00:00","","","","23/04/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","504"
"BNF-00505","Monsieur","Moreau","Brigitte","Moreau Brigitte","brigitte.moreau@contact.ch","410227181465","Route de Lausanne 96","","1205","GENEVE","07/04/1965 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","505"
"BNF-00507","Madame","Simon","Dominique","Simon Dominique","dominique.simon@test.ch","410224561989","Rue de la Paix 17","","1207","GENEVE","21/12/1979 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","507"
"BNF-00508","Madame","Laurent","Eric","Laurent Eric","eric.laurent@email.ch","410227495266","Route des Acacias 48","","1207","GENEVE","12/05/1978 00:00:00","","","","11/06/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","508"
"BNF-00509","Madame","Lefebvre","Pascal","Lefebvre Pascal","pascal.lefebvre@exemple.ch","410222536922","Rue des Ecoles 49","","1205","GENEVE","25/04/1987 00:00:00","","","","25/06/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","509"
"BNF-00511","Madame","Michel","Olivier","Michel Olivier","olivier.michel@mail.ch","410224329512","Rue de la Paix 40","","1218","GRAND-SACONNEX","08/03/1955 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","511"
"BNF-00520","Monsieur","Garcia","Bruno","Garcia Bruno","bruno.garcia@contact.ch","410225247883","Boulevard du Rh̫ne 45","","1209","GENEVE","20/10/1997 00:00:00","","","","23/05/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","520"
"BNF-00521","Madame","David","Vincent","David Vincent","vincent.david@test.ch","410229367516","Avenue de France 11","","1203","GENEVE","25/01/1963 00:00:00","","","","23/05/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","521"
"BNF-00528","Madame","Bertrand","Agn̬s","Bertrand Agn̬s","agnaes.bertrand@email.ch","410223506588","Route de Lausanne 43","","1218","GRAND-SACONNEX","14/12/1968 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","528"
"BNF-00529","Monsieur","Roux","Genevi̬ve","Roux Genevi̬ve","geneviaeve.roux@exemple.ch","410223226561","Route de Ferney 65","","1204","GENEVE","04/04/1946 00:00:00","","","","29/05/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","529"
"BNF-00536","Monsieur","Vincent","V̩ronique","Vincent V̩ronique","vaeronique.vincent@mail.ch","410224924130","Rue des Ecoles 48","","1214","VERNIER","12/11/1997 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","536"
"BNF-00544","Madame","Fournier","Chantal","Fournier Chantal","chantal.fournier@contact.ch","410223117671","Chemin de Bellevue 90","","1204","GENEVE","25/09/1966 00:00:00","","","","24/06/2019 00:00:00","","Actif","Oui","2025-12-07 15:02:53","544"
"BNF-00552","Madame","Morel","Jacqueline","Morel Jacqueline","jacqueline.morel@test.ch","410227915624","Avenue des Champs 31","","1209","GENEVE","07/10/1945 00:00:00","","","","02/07/2018 00:00:00","","Actif","Oui","2025-12-07 15:02:53","552"
